Tweet No,Tweet
1,"No #RohitSharma fan Will paas without liking this post ❤️ RIP HARDIK PANDYA #HardikPandya #RIPHARDIKPANDYA #RCBUnbox"
2,"No #ViratKohli𓃵 fan will pass without liking this post ❤️ #RIPHARDIKPANDYA #RCBUnbox #CSKvsRCB #ipltickets #viral"
3,"No #Sanatani 🚩will you passes without liking this post 🙏 ❣️ Jai Bajrang Bali ❣️"
4,"Wait for Hitman!!! #RohitSharma 🔥 #RIPHARDIKPANDYA"
