Tweet No,Tweet
1,"That's how The Best T20 Batsman in the world looks like #RCBUnbox"
2,"BREAKING: Live started in YT 🔥 45k watching in just 4mins 🥵 #RCBUnbox"
3,"CSK fans and MI fans watching RCB Unbox event: #RCBUnbox"
4,"Whole Chinnaswamy crowd going crazy for Virat Kohli 🔥🔥🔥 90% crowd there because of him @RCBTweets @imVkohli #RCBUnbox"
5,"The shouts when they showed Smriti on screen😭🔥 been Smriti fan from 8 years and this is the day I waited for🔥🔥 #RCBUnbox"
6,"King Kohli Entry Pure goosebumps 🔥🔥🔥🔥🔥🔥"
